,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,12.201544944927528,5.156094353776069,10.001331799989345,6.716265023967747,173.7766756209831,674.3502264831777,155.24911767211677,674.3502264831777,674.3502264831777,650.419865252046,674.3502264831777,674.3502264831777,526.0700146124935,670.976475697777
1,12.201544944927528,0.0,9.041191415379192,13.968053048664327,7.258174993051966,165.3599165238361,674.3502264831777,147.1548553392213,674.3502264831777,674.3502264831777,646.4506632888698,674.3502264831777,613.2021489830765,674.3502264831777,674.3502264831777
2,5.156094353776069,9.041191415379192,0.0,5.34874648998123,6.143668897460324,168.95036137151305,674.3502264831777,157.31806400023845,674.3502264831777,674.3502264831777,654.7651548645638,674.3502264831777,674.3502264831777,674.3502264831777,674.3502264831777
3,10.001331799989345,13.968053048664327,5.34874648998123,0.0,11.880561422619742,171.61226977439,189.00485525916525,674.3502264831777,674.3502264831777,674.3502264831777,643.285129212047,674.3502264831777,601.2957652198527,674.3502264831777,674.3502264831777
4,6.716265023967747,7.258174993051966,6.143668897460324,11.880561422619742,0.0,164.10748817790108,185.60838743309327,144.5605932242651,219.20953934391312,174.92930439332585,641.6204936560766,674.3502264831777,617.7790392416443,526.6043827736479,666.1639693339224
5,173.7766756209831,165.3599165238361,168.95036137151305,171.61226977439,164.10748817790108,0.0,64.5191339489498,59.56938296188182,67.56633224357743,66.75008264860321,599.029604449121,452.2874297285155,437.3527808915177,356.89265647910673,498.8934661251867
6,674.3502264831777,674.3502264831777,674.3502264831777,189.00485525916525,185.60838743309327,64.5191339489498,0.0,42.15728366757002,70.76168378788637,48.13839786085592,462.3309297796826,503.6901729095209,425.6365851010005,356.6778502357298,485.1583691407433
7,155.24911767211677,147.1548553392213,157.31806400023845,674.3502264831777,144.5605932242651,59.56938296188182,42.15728366757002,0.0,74.85861689109088,27.818630776723676,534.8444062762018,555.3472967429925,601.7463511489623,522.5365329015749,546.5483458405199
8,674.3502264831777,674.3502264831777,674.3502264831777,674.3502264831777,219.20953934391312,67.56633224357743,70.76168378788637,74.85861689109088,0.0,83.73139128704493,468.19564155561704,615.8609850367897,411.6879191774595,358.86559640834696,549.229575610388
9,674.3502264831777,674.3502264831777,674.3502264831777,674.3502264831777,174.92930439332585,66.75008264860321,48.13839786085592,27.818630776723676,83.73139128704493,0.0,522.1716238221785,498.7356230998173,467.0061708216216,376.8918943603791,636.3804148516748
10,650.419865252046,646.4506632888698,654.7651548645638,643.285129212047,641.6204936560766,599.029604449121,462.3309297796826,534.8444062762018,468.19564155561704,522.1716238221785,0.0,186.55237974020594,114.3358271307028,216.74107573530998,166.71628150387116
11,674.3502264831777,674.3502264831777,674.3502264831777,674.3502264831777,674.3502264831777,452.2874297285155,503.6901729095209,555.3472967429925,615.8609850367897,498.7356230998173,186.55237974020594,0.0,204.300978256134,116.52273416659428,133.8198030591471
12,674.3502264831777,613.2021489830765,674.3502264831777,601.2957652198527,617.7790392416443,437.3527808915177,425.6365851010005,601.7463511489623,411.6879191774595,467.0061708216216,114.3358271307028,204.300978256134,0.0,203.57792525695103,146.4109262051424
13,526.0700146124935,674.3502264831777,674.3502264831777,674.3502264831777,526.6043827736479,356.89265647910673,356.6778502357298,522.5365329015749,358.86559640834696,376.8918943603791,216.74107573530998,116.52273416659428,203.57792525695103,0.0,238.47818207220868
14,670.976475697777,674.3502264831777,674.3502264831777,674.3502264831777,666.1639693339224,498.8934661251867,485.1583691407433,546.5483458405199,549.229575610388,636.3804148516748,166.71628150387116,133.8198030591471,146.4109262051424,238.47818207220868,0.0
